id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH_1,COO_1,MAH_2
57,1,50,4,1,4,1,2,0,4,3,1,4,4,3,2,4,2,2,3,2,3,1,1,1,3,1,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,5,5,5,6,6,3,2,3,5,4,1,5,5,3,2,4,4,1,4,1,3,1,3,1,1,0,1,1,0,0,0,1,1,0,1,3,4,5,3,4,2,1,4,3,4,1,3,4,3,1,2,3,3,3,2,3,3,3,3,3,2,1,2,1,1,4,4,4,4,4,3,2,5,5,5,4,17,21,20,16,27,19,38,5,65,3,5,3,1.20411998265592,.333857295168029,.00318284391206705,9.65061804425171
491,1,57,4,2,4,6,1,200,1,3,5,3,1,5,4,4,1,3,2,4,4,3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2,1,1,1,3,1,3,4,4,2,5,3,4,5,3,5,1,4,2,4,2,2,4,1,2,2,1,1,1,0,0,0,0,0,0,0,5,3,4,2,1,2,3,2,3,4,1,4,2,4,2,2,4,5,3,3,1,1,4,2,1,1,4,1,2,1,3,3,1,3,3,1,3,3,5,4,4,14,15,25,37,7,30,25,3,57,3,5,3,1.568201724067,3.37207946006948,.000485798576482285,9.55624249909229
41,2,37,6,1,3,1,2,0,3,3,3,2,3,3,3,3,1,1,4,2,2,3,5,3,1,5,3,3,4,1,5,5,1,2,2,1,5,2,2,4,5,2,2,2,6,2,5,5,5,2,3,2,3,3,5,5,2,2,3,2,2,1,4,1,3,3,1,1,1,1,1,0,0,1,0,0,4,3,2,2,1,2,3,2,2,3,4,2,2,2,5,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3,2,3,1,2,2,2,3,3,2,1,2,19,23,19,39,14,40,18,6,38,2,3,2,1.63346845557959,5.86200881489354,.0308948504714126,9.23422256958016
6,2,41,7,1,6,1,2,0,4,3,4,2,4,4,3,4,4,4,2,2,2,3,4,1,2,2,4,2,2,3,4,4,1,2,1,1,2,3,2,2,2,5,4,5,5,2,4,4,4,3,2,5,2,2,5,5,4,4,1,4,1,3,3,4,3,1,0,0,1,1,0,0,1,0,0,1,2,3,5,4,5,2,3,4,4,4,3,3,4,3,2,2,3,4,3,4,2,2,1,1,3,3,3,4,4,4,4,4,2,2,4,4,3,3,3,4,4,21,16,23,24,21,42,35,4,66,2,4,5,1.38021124171161,4.09817556938257,.0356562765871801,9.21561356142105
157,2,19,1,2,3,7,2,0,4,4,4,4,2,3,3,2,3,3,4,4,4,2,5,5,3,4,2,3,2,1,1,3,2,2,5,3,3,2,2,5,3,3,1,2,1,2,5,5,5,3,2,5,3,2,5,5,4,4,4,3,3,2,4,2,4,4,0,1,1,0,0,0,0,1,0,0,4,5,2,2,3,4,5,2,3,3,3,3,1,1,5,5,1,3,2,2,3,2,2,2,1,1,3,4,3,4,1,2,1,1,1,2,1,1,3,1,1,17,14,22,36,9,44,21,3,37,1,1,2,1.55630250076729,5.0710136625097,.0183584882961445,9.04580668892445
287,2,25,1,2,5,1,2,0,4,2,3,1,5,1,1,4,1,3,4,2,1,4,4,5,1,2,3,2,5,2,1,5,3,3,5,3,2,3,3,5,5,1,1,4,7,7,3,4,5,4,3,3,3,2,1,5,4,4,1,3,1,3,1,4,3,1,1,1,1,1,1,0,1,1,1,1,3,4,2,3,5,3,5,4,4,3,1,5,4,3,2,1,5,5,4,5,5,4,4,2,3,4,2,3,3,4,4,4,4,2,4,3,2,1,5,4,5,26,25,27,39,20,33,36,9,66,1,2,4,1.5910646070265,.665424219368921,.00614385342243156,9.03069324332308
53,1,23,1,2,3,1,2, ,4,5,3,4,2,4,3,3,2,3,3,1,2,4,2,2,2,3,5,1,2,2,2,2,2,1,2,3,2,1,1,1,1,4,4,2,2,5,3,3,4,2,2,4,3,2,5,5,3,3,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,3,2,4,1,3,3,4,3,2,2,4,4,2,1,1,2,2,2,3,2,4,3,4,4,3,4,3,2,3,3,4,5,1,2,2,2,2,14,20,22,19,17,39,28,1,41,1,1,2,1.27875360095283,2.91003403684638,.0102046109294088,8.96610304411742
330,2,53,4,2,2,6,2,0,3,5,5,5,2,5,4,2,4,4,4,4,4,2,5,1,1,1,4,1,5,1,5,5,1,2,2,1,1,1,3,5,5,7,6,7,2,1,5,5,5,5,1,5,3,3,5,5,4,3,4,3,4,1,4,2,3,3,1,1,1,0,0,0,1,0,0,0,5,4,2,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,3,3,1,1,1,2,2,1,2,1,1,1,1,13,11,17,35,23,42,20,4,60,3,5,1,1.54406804435028,9.88816896080127,.0350147673834971,8.79440798932922
379,2,47,4,1,4,1,2,0,5,4,5,2,5,2,2,3,3,3,4,3,1,5,3,3,4,3,5,5,4,5,4,4,5,4,3,5,3,5,3,3,2,6,6,6,7,7,5,3,4,5,3,3,3,4,3,2,4,4,1,4,1,4,3,4,1,1,1,1,1,1,1,0,0,1,0,0,2,2,5,5,5,5,2,2,4,5,1,5,4,4,3,3,3,4,2,4,4,3,2,2,2,4,1,3,3,2,4,4,2,4,4,4,4,4,5,3,3,25,20,46,32,32,29,38,6,74,3,4,3,1.50514997831991,2.68748289579789,.00199102747593095,8.70052749451713
59,2,36,6,1,2,1,2,0,2,4,3,4,3,4,2,3,2,2,4,2,3,5,4,4,3,4,5,3,4,3,5,3,2,2,4,2,4,2,4,4,4,3,4,4,3,6,3,3,4,3,2,3,2,3,4,3,4,4,2,3,3,3,3,3,3,2,1,1,1,1,1,0,0,1,1,0,2,4,4,2,4,3,3,2,5,4,1,3,3,3,4,4,2,3,2,2,2,3,3,3,3,2,3,4,4,3,3,2,2,2,3,4,2,3,5,2,2,14,21,31,39,20,34,29,7,56,2,3,1,1.60205999132796,.149052945804585,.00177251580384276,8.37382660403436
416,1,21,1,2,3,1,2, ,3,3,3,3,5,2,2,3,3,3,3,3,3,4,4,4,3,2,5,4,5,2,2,5,4,2,4,4,1,4,4,5,5,4,5,5,5,4,3,4,5,5,3,5,4,4,3,3,4,4,1,3,4,4,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,5,3,4,2,2,5,3,3,2,4,3,2,2,2,2,4,3,3,3,4,3,2,2,2,2,1,3,2,2,4,1,4,2,2,1,1,1,2,4,4,21,17,36,37,23,31,31,2,46,1,1,2,1.568201724067,1.92664684643397,.000205988650326723,8.28745003222292
508,2,26,3,1,5,1,2,0,4,2,4,2,4,2,3,2,2,3,3,1,1,5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1,3,4,5,5,3,4,4,4,3,3,2,4,3,5,4,4,4,1,4,1,3,2,4,3,1,1,1,1,0,0,0,1,0,0,0,2,4,2,4,4,2,3,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,3,3,2,3,4,4,3,2,4,4,2,3,3,4,4,24,20,38,14,20,34,36,4,54,1,2,4,1.14612803567824,.339205435339703,.00144851098347722,7.93884452468243
116,2,48,5,1,4,1,2,0,3,3,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,1,2,3,5,3,5,5,2,3,5,4,2,3,3,5,3,3,5,5,5,1,5,4,5,3,3,5,3,3,2,4,4,4,2,4,3,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,5,4,3,3,2,2,4,3,4,4,4,2,1,1,5,5,1,2,3,3,4,2,2,2,2,1,3,3,3,3,3,2,4,3,3,1,2,2,2,1,1,20,15,31,39,19,37,33,5,37,3,4,3,1.61278385671974,4.51562934551607,.000875979701239314,7.85484671842739
422,2,24,1,2,4,1,2, ,3,1,4,2,5,1,3,4,2,2,3,3,4,3,5,4,3,1,4,3,5,4,3,3,2,4,4,3,2,3,4,5,5,6,5,7,5,4,3,3,4,3,4,3,3,4,4,4,4,4,1,4,1,3,2,3,2,1,0,1,1,0,0,0,0,0,0,0,3,3,3,4,4,5,3,3,3,4,3,4,2,3,2,2,4,4,5,4,5,2,3,3,2,1,3,2,3,2,4,4,3,3,4,3,3,3,3,4,4,26,18,33,37,27,31,36,2,63,1,1,3,1.568201724067,1.555457482708,.000605486197538149,7.8408414794892
87,1,25,1,2,5,1,2,0,3,3,4,2,4,3,2,3,1,1,3,2,2,3,1,1,2,2,2,2,2,2,1,3,1,1,1,2,2,2,4,1,1,5,6,5,5,4,1,2,3,4,3,2,5,3,2,1,4,4,1,4,1,3,1,4,2,1,0,1,1,0,1,0,0,1,0,0,2,3,3,3,4,5,3,2,4,3,3,3,3,4,2,2,4,5,3,4,3,3,4,4,3,3,2,3,1,3,4,4,4,3,4,4,3,3,3,4,4,21,23,21,15,25,20,38,4,64,1,2,4,1.17609125905568,.116546642244687,.00138315162545453,7.70569875219597
434,2,47,4,1,3,8,2,0,2,5,2,5,4,4,4,2,3,4,3,3,2,2,4,1,1,1,3,1,2,1,2,4,1,2,1,1,1,1,1,3,3,1,1,1,1,1,3,4,4,3,2,3,4,4,4,3,2,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3, ,4,1,1,2,2,4,3,3,4,4,1,3,1,1,2,1,2,1,2,3,3,4,2,2,3,3,2,1,2,4,3,2,4,2,2,12,14,14,22,5,32,20,9, ,3,4,2,1.34242268082221, , ,7.5942976045542
264,1,18,1,2,3,7,2,0,4,1,5,1,5,1,1,2,1,1,2,3,1,1,5,4,5,1,5,5,5,1,5,5,1,2,4,1,1,1,5,1,1,7,7,5,7,1,5,4,2,4,3,1,5,3,1,4,4,4,2,3,1,2,4,2,4,2,1,1,1,0,1,1,1,0,0,0,1,1,1,5,2,1,4,1,5,5,5,5,5,5,1,1,1,5,5,5,5,4,4,4,2,4,2,3,1,3,3,4,1,1,3,5,5,2,1,5,5,29,22,27,32,27,26,27,6,64,1,1,2,1.50514997831991,.0896729290422536,7.05050681663962E-009,7.53967788424217
442,2,24,4,2,4,1,1,150,2,5,3,5,1,5,3,2,3,3,2,4,4,3,5,4,1,1,1,2,5,1,3,3,1,2,2,2,1,3,2,4,4,2,2,3,1,3,4,4,5,2,2,3,3,2,5,5,3,3,2,3,3,2,4,2,4,2,1,1,1,1,0,0,1,1,1,0,5,5,2,1,1,1,5,1,1,2,5,1,1,1,5,5,1,2,1,1,1,2,2,2,1,1,4,4,3,4,3,2,1,1,3,1,1,1,1,1,1,9,12,18,32,11,41,23,7,21,1,1,3,1.50514997831991,11.6788882946133,.000854785111348873,7.43598041639229
540,1,36,4,1,4,8,2,0,3,1,3,1,4,4,2,4,3,1,3,3,2,4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1,5,5,5,7,5,2,1,2,5,4,2,4,5,2,1,4,4,1,3,1,3,3,3,1,1,1,1,1,0,0,0,1,1,0,0,1,4,5,2,5,3,4,4,5,4,1,3,4,3,3,3,3,4,5,5,2,3,2,4,2,3,1,2,2,1,4,4,2,4,4,5,2,2,5,3,3,22,21,27,13,27,16,35,5,65,2,3,3,1.11394335230684,.333857295168029,.0062683568162087,7.28873619104262
470,2,49,5,1,2,5,2,0,4,1,4,1,5,2,2,4,1,2,4,1,1,3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1,5,5,5,5,5,2,2,3,4,4,1,4,4,1,1,3,3,1,3,1,3,2,3,1,1,1,1,1,1,1,0,1,1,0,1,2,2,4,4,4,3,1,4,4,4,2,4,4,4,2,2,4,4,5,5,4,3,4,3,4,4,2,2,2,2,4,4,3,4,4,4,4,5,4,4,4,27,26,24,14,25,18,34,8,72,3,4,1,1.14612803567824,1.35119410638925,.00170047657430261,7.28005654498634
252,2,21,2,2,5,1,2,0,4,1,3,1,4,1,1,4,1,1,4,1,3,2,1,1,3,1,3,1,4,2,2,3,1,3,1,3,3,2,2,2,2,6,6,6,6,3,2,2,3,4,4,2,4,4,2,2,4,4,1,4,1,4,1,3,1,1,0,1,1,1,1,0,1,0,0,0,3,2,5,4,4,3,1,2,3,3,4,4,3,4,2,2,3,3,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,4,5,2,4,4,26,26,22,20,27,21,39,5,63,1,1,4,1.30102999566398,1.31417610205586,.000711367848936654,7.16805963545523
338,2,45,5,1,4,1,1,30,2,5,2,5,5,1,3,4,1,1,4,1,2,5,1,1,4,1,5,5,1,5,1,1,5,4,1,4,1,5,4,1,1,1,7,7,7,5,2,2,4,5,4,4,4,4,4,4,4,4,1,1,1,4,1,4,1,1,1,1,1,0,1,1,1,0,0,0,1,3,4,4,4,3,3,4,2,4,4,4,4,3,3,3,3,4,1,1,5,2,4,4,4,3,1,2,2,2,4,4,4,4,4,5,3,3,2,3,3,16,25,46,10,27,27,37,6,62,3,4,3,1,.796285349726658,.000500061176495063,7.13982436760229
517,1,18,1,2,3,3,2,0,3,4,3,2,4,3,3,4,2,4,4,2,2,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1,3,6,6,5,5,2,3,2,3,2,2,3,3,3,2,4,4,1,4,2,4,2,4,1,1,1,1,1,0,1,0,1,0,0,0,2,3,2,4,4,3,1,4,4,5,3,3,5,4,4,3,2,3,2,4,3,2,3,1,3,3,3,4,3,3,4,3,3,4,4,4,3,5,3,2,3,19,20,21,10,25,27,38,5,63,1,1,2,1,.450420534667926,1.07125351803838E-005,7.11584899196877
179,2,45,5,2,4,7,2,0,2,3,1,3,4,3,1,2,3,2,3,2,2,2,4,4,3,1,2,2,4,2,1,2,1,1,2,1,1,1,1,3,1,6,6,6,6,6,3,3,3,4,3,3,4,4,4,3,3,3,1,3,2,3,3,2,1,1,1,1,1,0,1,0,1,0,1,0,2,2,4,3,3,2,3,3,3,4,2,3,3,2,3,2,4,4,3,3,3,4,2,3,3,3,2,3,2,2,4,3,2,4,4,4,4,3,4,3,4,16,20,16,23,30,28,31,6,60,3,4,3,1.36172783601759,.241437969823132,1.92758503114517E-007,7.11583935255855
420,1,69,4,2,2,6,2, ,4,1,3,3,4,4,2,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,4,1,4,4,2,2,4,4,4,5,6,5,6,3,6,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,3,3,3,2,1,1,1,0,0,1,0,0,0,0,2,3,4,5,4,4,3,3,4,4,4,4,4,5,2,2,2,3,5,3,2,3,2,2,2,2,2,2,3,3,2,3,2,2,3,4,3,3,2,4,4,21,17,33,37,26,33,29,4,66,3,5,1,1.568201724067,3.02028101746303,.00315693596517172,6.98827788595298
66,1,59,5,2,2, ,2, , ,5,1,5,1,1,3,1,4,4,1,4,4,2,3,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,3,3,2,6,2,1,2,1,3,3,3,3,2,3,3,2,4,2,3,4,2,2,2,2,3,1,2,1,1,1,1,0,1,0,0,0,0,1,3,1,3,5,2,2,3,4,4,4,4,2,2,2,4,4,3,3,1,1,5,2,1,1,1,1,3,4,3,4,3,3,2,3,4,3,5,3,2,2,2, ,8,15,22,12,32,27,5,53,3,5,1,1.34242268082221,13.8966422205449,.0149858891089088,6.82220462397264
7,1,33,1,2,5,1,2,0,4,1,4,1,5,1,2,3,2,2,4,1,4,5,5,2,5,2,4,3,3,2,3,5,5,5,2,5,1,5,5,5,3,1,1,1,1,1,4,3,4,4,3,3,3,3,3,3,4,4,2,4,1,4,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,5,3,3,4,3,5,3,2,3,3,3,3,3,3,3,3,3,5,5,5,3,3,3,4,1,2,3,3,3,3,4,4,3,3,3,1,1,3,3,3,28,21,44,31,5,31,34,6, ,2,3,4,1.49136169383427, , ,6.71832871335435
404,2,24,1,2,5,1,2, ,4,1,4,1,5,1,2,4,2,1,3,2,1,5,1,1,4,1,5,5,1,5,1,1,3,3,1,4,1,5,5,1,1,6,7,7,5,6,1,1,2,5,5,1,4,5,1,1,4,4,1,4,1,4,1,4,1,1,0,1,1,1,1,0,1,1,0,1,4,1,5,4,4,4,1,4,4,4,1,4,3,4,2,1,4,4,5,5,5,3,3,4,3,4,1,1,2,1,4,4,4,4,4,2,5,5,5,4,5,28,24,44,10,31,12,40,7,74,1,1,4,1,1.24570563608319,.011743878112129,6.69013799355528
331,1,22,3,2,2,8,1,150,2,4,2,5,2,5,3,4,1,1,4,2,4,4,1,1,3,2,5,4,2,3,3,2,4,4,2,5,2,5,3,1,1,2,2,3,2,2,3,3,4,2,2,4,4,3,4,3,3,3,2,4,3,2,4,2,4,4,0,1,1,0,0,0,0,0,0,0,2,4,3,4,5,1,4,4,2,2,4,2,2,1,3,1,2,4,2,1,1,2,4,4,3,1,4,4,2,3,3,2,1,1,1,4,2,2,2,3,5,10,22,40,17,11,34,22,2,50,1,1,1,1.23044892137827,1.15852028667671,.00288742888460552,6.65522949727877
336,2,43,5,2,5,1,2,0,2,4,3,3,4,2,3,3,3,3,3,1,2,4,3,1,2,2,4,3,3,4,2,2,1,4,1,1,2,2,3,1,1,2,6,4,3,4,4,3,3,3,2,4,2,2,4,4,3,3,1,3,1,3,1,3,2,3,1,1,1,0,0,1,1,1,0,1,3,3,3,3,2,2,1,1,1,3,1,1,2,1,3,1,1,3,2,3,4,2,2,2,4,3,3,4,4,4,4,4,4,3,2,3,3,5,5,3,5,18,19,28,18,19,37,32,7,47,2,4,4,1.25527250510331,1.30741786655502,.00378970909560205,6.61149753212675
