id,city,age,service,employstatus,q1a,q1im,q2a,q2im,q3a,q3im,q4a,q4im,q5a,q5im,q6a,q6im,q7a,q7im,q8a,q8im,q9a,q9im,q10a,q10im,recommend,totsatis,servicegp3,logservice,agerecode
456,8,2,2,2,5,5,5,5,3,3,3,4,4,4,3,3,3,3,5,5,2,4,4,4,1,37,1,.301029995663981,1
458,8, ,1,1,4,2,3,5,4,5,3,1,4,1,3,2,3,5,4,4,4,1,4,4,1,36,1,0, 
459,8,5,5,1,5,5,4,5,2,3,5,5,3,4,3,5,3,3,4,5,1,4,4,4,1,34,2,.698970004336019,4
460,8, ,3,1,4,5,3,5,4,5,2,4,2,5,3,4,3,3,5,5,1,4,3,5,1,30,2,.477121254719662, 
461,8, ,4,1,5,4,2,5,4,3,1,5,2,5,2,5,3,5,4,5,1,5,1,5,0,25,2,.602059991327962, 
462,8,4,5,1,3,5,2,5,4,3,1,5,2,5,3,4,2,5,5,5,1,5,2,5,0,25,2,.698970004336019,3
463,8,2,2.5,1,5,5,3,5,4,5,4,5,5,5,4,5,3,2, ,5,2,5,2,5,1, ,2,.397940008672038,1
464,8,4,3,1,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,1,40,2,.477121254719662,3
465,8, ,5,1,5,3,4,3,4,3,1,3,1,4,1,4,3,3,4,4,3,1,3,5,1,29,2,.698970004336019, 
466,8,3,5,1,5,4,3,4,5,1,4,3,4,3,2,5,2,5,5,4,4,3,3,3,1,37,2,.698970004336019,2
467,8,3,1,1,3,3,4,4,3,3,1,4,2,4,2,5,2,3,4,5,1,3,4,5,1,26,1,0,2
468,8,3,.25,2,4,5,4,5,3,4,4,4,4,4,4,3,4,5,5,5,4,4, , ,1, ,1,-.602059991327962,2
469,8, ,4,1,5,5,2,5,3,4,2,5,4,5,3,5,1,5,4,5,3,4,2,5,0,29,2,.602059991327962, 
470,8,5,3,1,4,4,2,5,2,5,1,5,1,5,1,5,2,5,2,3,1,5,3,5,0,19,2,.477121254719662,4
471,8, ,11,1,4,4,3,5,3,4,5,4,4,5,3, ,2,3,3,4,4,4,3,4,1,34,3,1.04139268515823, 
472,8, ,4,1,4,4,4,4,4,3,3,4,3,3,4,4,3,3,4,4,3,3,3,3,1,35,2,.602059991327962, 
473,8, ,.5,2,5,4,4,4,3,2,2,2,3,3,3,4,4,5, , ,1,5,4,3,1, ,1,-.301029995663981, 
474,8, ,3,1,5,5,4,5,2,4,1,5,2,5,2,5,2,3,5,5,1,4,2,5,1,26,2,.477121254719662, 
475,8, ,9,1,5,5,3,5,3,4,3,3,3,4,3,3,3,3,4,5,3,3,3,4,1,33,3,.954242509439325, 
476,8, ,13,1,5,5,4,5,3,5,3,5,5,5,4,5,3,5,3,5,5,5,4,5,1,39,3,1.11394335230684, 
478,8,3,4,1,5,5,4,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,1,46,2,.602059991327962,2
479,8,4, ,1,4,4,4,4,4,4,2,3,4,4,3,3,3,4,3,4,2,3,4,4,1,33, , ,3
480,8, , ,2,3,4,3,4,4,4,2,4,3,4,3,4,3,4,4,4,1,4,4,4,1,30, , , 
481,8,4,1.5,1,4,4,2,5,3,4,4,5,3,4,3,4,3,3,4,4,3,4,4,4,1,33,1,.176091259055681,3
482,8,4,14,1,5,5,3,5,4,4,3,3,4,4,5,4,3,4,4,5,3,3,4,5,1,38,3,1.14612803567824,3
483,8,3,6,1,5,5,5,5,4,5,4,5,4,5,4,5,3,5,5,5,2,5,4,5,1,40,3,.778151250383644,2
484,8, , ,2,4,4,4,5,2,3,1,5,2,3,1,5,2,5,5,5,3,3,3,4,0,27, , , 
485,8, ,3,1,4,5,4,5,3,4,4,3,4,3,4,4,3,3,3,4,3,3,4,4,1,36,2,.477121254719662, 
486,8,5,1,2,4,2,5,2,3,3,3,3,4,3,4,3,3,2,4,4,3,3,4,3,1,37,1,0,4
487,8,3,2,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,49,1,.301029995663981,2
488,8,4,2,1,4,5,3,4,3,4,4,5,3,5,4,5,3,5,4,4,4,4,2,5,1,34,1,.301029995663981,3
489,8,4,5,1,3,5,2,5,4,2,1,5,1,5,3,4,2,5,4,5,1,5,4,5,1,25,2,.698970004336019,3
490,8, ,4,1,4,5,3,5,3,3,1,5,3,2,3,3,3,4,5,5,1,4,4,4,1,30,2,.602059991327962, 
491,8,5,3,1,4,4,4,4,3,3,4,4,4,4,5,4,4,5,4,4,3,3,4,4,1,39,2,.477121254719662,4
492,8,4,7,1,5,5,4,5,4,5,3,4,4,5,3,4,3,4,3,4,3,4,3,4,1,35,3,.845098040014257,3
494,8, ,1,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,48,1,0, 
495,8, ,2,1,3,5,5,5,5,1,3,1,3,1,1,5,1,1,3,4,2,1,5,5,1,31,1,.301029995663981, 
496,8,3,7,1,5,5,3,4,5,5,3,4,4,4,4,5,4,5,4,5,3,3,5,5,1,40,3,.845098040014257,2
497,8,3,5,1,2,5,1,5,2,5,2,3,2,3,1,5,1,5,5,5,2,3,4,4,0,22,2,.698970004336019,2
499,8,4,4,1,4,5,3,5,3,2,2,5,1,5,2,5,3,3,4,5,4,5,2,5,1,28,2,.602059991327962,3
500,8,4,9,1,4,5,4,5,3,5,4,4,3,4,4,4,4,5,4,5,4,4,3,5,1,37,3,.954242509439325,3
501,8,4,3,1,3,5,3,5,4,4,1,5,1,4,1,5,4,4,4,4,3,3,1,5,1,25,2,.477121254719662,3
502,8,4,3,1,5,5,4,4,4,5,5,1,5,3,4,4,4,5,5,5,4,5,5,5,1,45,2,.477121254719662,3
503,8,3,3,1,4,4,4,4,2,2,1,4,3,4,2,4,2,4,3,4,3,4,2,4,1,26,2,.477121254719662,2
504,8,4,2,2,5,5,4,5,4,3,3,4,4,3,3,3,3,3,5,5,3,3,4,3,1,38,1,.301029995663981,3
505,8,4,3,1,5,5,3,5,5,5,2,5,2,5,1,5,2,5,3,5,5,5,3,5,1,31,2,.477121254719662,3
506,8,5,1.5,2,5,5,5,5,3,3,3,4,4,3,4,4,4,4,4,4,2,3,4,4,1,38,1,.176091259055681,4
507,8,4,2.5,1,3,4,4,4,3,3,1,3,2,3,3,3,1,3,4,4,2,2,3,4,1,26,2,.397940008672038,3
508,8, ,2,1,5,5,3,5,3,4,3,4,4,4,3,4,2,4,5,5,3,4,2,4,1,33,1,.301029995663981, 
509,8,2,4,1,4,5,3,4,3,4,2,5,3,5,3,4,3,4,2,5,3,5,3,5,1,29,2,.602059991327962,1
510,8,5,2,1,5,5,4,4,5,5,3,3,5,5,4,4,4,4,5,5,4,4,4,4,1,43,1,.301029995663981,4
511,8,2,2,1,3,5,3,5,3,5,4,3,4,5,2,4,3,4,4,4,2,4,3,5,1,31,1,.301029995663981,1
512,8,3,3,1,5,5,3,5,5,5,3,5,5,5,4,5,4,4,3,5,3,5,3,5,1,38,2,.477121254719662,2
513,8, ,4,1,4,4,4,4,2,3,4,4,2,4,3,4,3,3,4,4,1,2,3,4,1,30,2,.602059991327962, 
514,8, ,7,1,4,4,3,4,2,3,1,3,3,3,1,4,3,3,4,4,1,4,3,3,0,25,3,.845098040014257, 
515,8, ,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,2,4,4,1,41,1,0, 
516,8,4,3,1,5,4,3,4,4,4,3,4,4,4,3,5,4,4,4,5,3,4,3,4,1,36,2,.477121254719662,3
517,8,5,14,1,5,2,3,5,3,1,4,4,1,3,4,4,1,3,5,5,1,5,4,5,1,31,3,1.14612803567824,4
518,8, ,1,1,4,5,4,5,3,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,22,1,0, 
519,8, ,8,1,5,5,3,5,4,5,2,3,3,4,3, ,2,5,5,5,2,3, ,5,1, ,3,.903089986991944, 
520,8,4,3,1,4,5,2,5,3,3,4,3,4,4,3,3,1,1,3,4,3,3,2,4,1,29,2,.477121254719662,3
521,8, ,14,1,4,4,5,5,4,2,3,4,3,3,2,3,1,4,4,4,1,4,3,3,1,30,3,1.14612803567824, 
522,8,4,.16,2,4,4,4,4,3,4,1,4,2,4,3,4,3,4,4,4,1,4,2,4,1,27,1,-.795880017344075,3
523,8,4,15,1,4,5,4,5,3,5,4,5,3,5,5,5,4,5,4,5,5,5,2,5,1,38,3,1.17609125905568,3
524,8,5,2.5,2,4,5,3,4,4,4,3,4,4,4,4,5,4,4,4,4,3,4,3,4,1,36,2,.397940008672038,4
525,8,4,5,1,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,3,3,1,35,2,.698970004336019,3
430,8,5,2,1,5,4,3,5,2,5,3,4,3,4,4,4,1,5,4,4,3,4,3,4,1,31,1,.301029995663981,4
438,8,2,.16,1,3,4,2,5,3,3,2,4,3,5,3,4,4,4,4,5, , , , ,1, ,1,-.795880017344075,1
439,8,3, ,1,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,1,35, , ,2
440,8,3,2,1,5,3,3,4,2,4,4,4,4,4,3,4,1,4,3,3,3,4,3,3,1,31,1,.301029995663981,2
441,8,5,2,1,4,4,4,4,2,5,2,4,3,3,4,4,3,4,3,4,5,5,4,4,0,34,1,.301029995663981,4
443,8,2,3,1,5,5,3,5,3,5,2,4,2,5,1,4,2,4,2,4,4,4,1,5,1,25,2,.477121254719662,1
444,8,2,33,1,4,4,4,4,2,3,3,4,4,4,2,3,4,5,4,5,2,4,5,5,1,34,3,1.51851393987789,1
449,8,4,3.5,1,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,3,5,1,41,2,.544068044350276,3
453,8,2,1.5,1,4,4,4,4,2,4,3,4,2,4,2,4,1,4,2,4,4,4,1,4,1,25,1,.176091259055681,1
455,8, , ,1,4,4,3,4,3,2,1,1,4,3,4,3,4,3,5,5,2,5,5,4,1,35, , , 
457,8,2,.67,2,4,4,3,4,4,4,3,4,3,4,3,4,3,3,3,4,3,4,4,5,1,33,1,-.173925197299174,1
477,8,2,.25,1,4,5,5,5,4,4,4,5,5,5,3,5,4,4,4,5,3,3,4,5,1,40,1,-.602059991327962,1
493,8,4,5,1,4,5,2,5,2,4,1,5,2,5,2,5,2,5,5,5,3,5,1,5,0,24,2,.698970004336019,3
498,8,4, ,1,5,5,4,5,3,3,4,4,4,5,3,4,4,4,4,4,5,5,3,5,1,39, , ,3
7,7, , , ,2,4,1,5,2,4,2,3,2,3,1,3,1,3,2,4,3,3,1,5,0,17, , , 
48,7, ,13,1,5,3,4,4,2,5,1,3,1,3,5,3,2,4,3,4,3,3,2,3,0,28,3,1.11394335230684, 
1,7,4,10,1,5,4,3,5,4,3,3,3,4,3,2,3,3,3,3,3,4,3,3,4,1,34,3,1,3
2,7, ,.67,2,3, ,3,4,4,3,3,3,2,3,3,3,3,3,4,4,4,3,4,3,1,33,1,-.173925197299174, 
3,7, ,4,2,5,5,3,4,3,4,1,3,1,2,3,4,2,4, ,3,1,3,1,4,1, ,2,.602059991327962, 
4,7,4,4,2,5,5,3,5,1,3,1,2,1,4,1,5,1,4,5,5,1,5,1,5,0,20,2,.602059991327962,3
5,7,5,14,2,5,5,3,5,3,4,5,5,4,5,3,4,2,4,4,5,4,5,3,4,1,36,3,1.14612803567824,4
6,7,3, ,2,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,0,14, , ,2
8,7, , ,2,4,4,3,5,3,3,2,4,2,4,3,4,2,4,4,4, , ,4,5,1, , , , 
10,7,2, ,2,4,5,4,5,3,4,2,5,2,5,2,4,3,4,4,5,2,4,3,4,1,29, , ,1
11,7,2, ,2,3,3,3,4,4,4,1,5,3,5,3,5,1,5,5,5,3,5,4,5,1,30, , ,1
12,7,3, ,2,3,5,2,5,2,3,1,3,1,3,1,3,1,4,3,4,1,4,2,4,0,17, , ,2
13,7,3,.25,2,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,2,4,4,4,1,34,1,-.602059991327962,2
14,7,4, ,2,3,4,3,5,4,4,3,4,3,4,3,4,1,5,4,4,4,4,3,4,0,31, , ,3
15,7, ,2,2,4,4,3,4,4,3,4,3,4,4,4,4,3,3,5,5,5,5,5,5,1,41,1,.301029995663981, 
16,7,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,40,1,0,1
17,7,4,3,2,5,5,5,5,5,5,1,3,3,4,4,3,3,4,4,5,3,4,2,4,1,35,2,.477121254719662,3
18,7,3,2,2,4,4,4,4,4,3,4,5,4,4,3,4,4,5,5,5,4,4,3,5,1,39,1,.301029995663981,2
19,7, ,1,2,5,5,3,5,3,4, ,5,3,4,4,4,4,4,3,4,4,5,2,5,1, ,1,0, 
20,7,4,1.5,2,3,5,3,5,1,3,1,4,1,5,1,4,3,5,5,5,1,4,3,4,1,22,1,.176091259055681,3
21,7,5,1.5,2,5,5,3,5,3,5,2,5,3,4,3,3,1,4,4,4,4,5,4,5,0,32,1,.176091259055681,4
22,7, ,8,1,5,5,4,5,4,5,3,5,4,5,3,5,4,5,3,5,5,5,3,5,1,38,3,.903089986991944, 
23,7,5,3,2,3,4,2,4,4,4,1,3,1,2,3,3,3,3,4,4,1,3,1,3,1,23,2,.477121254719662,4
24,7,2,1,2,5,4,4,4,5,4,1,5,1,5,3,5,3,3,4,4,2,5,4,5,1,32,1,0,1
25,7,4,1,2,5,5,3,4,3,5,2,4,2,5,4,4,3,5,4,5,3,4,3,5,1,32,1,0,3
26,7,4,6,2,3,5,2,5,2,3,1,5,1,5,1,5,2,4,5,5,1,5,1,3,0,19,3,.778151250383644,3
27,7,4,7,1,4,5,5,5,4,5,4,5,3,4,4,5,4,3,4,5,5,5,4,5,1,41,3,.845098040014257,3
28,7,5,3,2,5,5,3,5,4,4,2,4,3,4,3,4,2,2,4,5,5,5,4,5,0,35,2,.477121254719662,4
29,7,3, ,2,5,5,2,5,4,4,1,5,2,5,2,5,3,4,5,5,1,3,2,4,1,27, , ,2
30,7, ,9,1,5,5,2,5,1,5,2,5,3,2,3,4,2,5,3,5,5,5,3,5,1,29,3,.954242509439325, 
31,7,3, ,2,2,5,3,5,3,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,19, , ,2
32,7,2, ,2,3,3,2,5,3,2,4,4,4,4,1,5,1,5,4,5,4,4,4,5,1,30, , ,1
33,7,3,10,1,4,4,3,4,4,2,4,5,3,4,2,4,3,4,4,5,4,3,3,4,1,34,3,1,2
34,7,4,10,2,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,40,3,1,3
35,7, ,2,2,5,4,3,5,3,3,3,3,4,1,1,4,1,4,4,4,4,2,4,2,1,32,1,.301029995663981, 
36,7,3,1,1,4,4,4,4,4,3,3,4,3,4,2,4,4,4,3,4,4,4,4,4,1,35,1,0,2
41,7,3,1,1,4,5,4,5,3,5,5,5,4,5,3,5,4,3,3,4,4,5,4,5,1,38,1,0,2
42,7,5,7,1,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,47,3,.845098040014257,4
43,7, ,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,40,1,.301029995663981, 
44,7,3,1,1,5,5,4,4,3,5,3,4,3,5,3,4,2,4,2,5,3,5,3,4,0,31,1,0,2
46,7,3,1,1,4,4,3,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,1,38,1,0,2
47,7,5,1,2,4,5,2,5,4,4,5,5,4,5,4,4,4,4,4,5,5,5,4,4,1,40,1,0,4
58,7, ,6,1,5,5, , ,1,5,1,5,1,5,5,5,1,5,2,5,1,5,1,5,0, ,3,.778151250383644, 
59,7,3,5,1,4,5,2,5,3,5,3,3,4,4,4,4,3,2,3,4,5,4,4,4,1,35,2,.698970004336019,2
65,7,5,10,1,5,5,4,4,4,4,1,1,4,5,4,4,5,5,4,4,4,4,4,4,1,39,3,1,4
37,7, ,3,1,5,5,3,5,2,5,3,3,2,3,3,3,3,4,3,4,1,2,2,4,1,27,2,.477121254719662, 
40,7,2,3,1,4,5,3,5,3,5,4,5,4,5,3,5,4,5,4,5,4,5,2,5,0,35,2,.477121254719662,1
45,7,3,6,1,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,40,3,.778151250383644,2
49,7,1,1,1,4,5,3,5,2,3,1,5,3,5,3,5,2,3,4,5,5,5,5,5,0,32,1,0,1
50,7,3,2,1,5,5,4,5,4,5,3,5,3,5,2,5,2,5,2,5,3,5,1,5,1,29,1,.301029995663981,2
51,7,2,.5,2,5,5,3,5,4,4,2,5,4,5,2,5,3,4,4,4,5,5,4,5,1,36,1,-.301029995663981,1
52,7,4,3,2,4,5,3,5,4,4,3,5,3,5,4,4,3,4,4,5,4,2,3,5,1,35,2,.477121254719662,3
53,7,3,3,1,3,4,3,4,2,4,3,4,3,4,1,4,2,4,3,4,4,4,2,4,1,26,2,.477121254719662,2
54,7,2,1,1,3,4,4,4,3,3,4,4,5,5,2,2,2,2,3,3,4,4,4,4,1,34,1,0,1
55,7, ,.33,1,4,5,4,4,3,4,4,5,5,5,2,4,3,4,3,5,4,4,5,4,1,37,1,-.481486060122112, 
56,7,2,2.5,1,4,4,4,5,3,4,3,4,4,4,4,4,3,4,4,4,3,4,2,5,0,34,2,.397940008672038,1
57,7, ,1.5,1,4,4,4,4,2,4,3,5,4,4,3,5,3,5,3,4,4,5,3,5,1,33,1,.176091259055681, 
60,7,2,2,1,4,4,3,3,2,4,2,5,3,5,3,5,3,5,3,4,5,5,4,5,1,32,1,.301029995663981,1
61,7,2,2.5,1,4,4,3,5,2,5,3,4,4,4,3,4,2,4,3,4,5,4,2,3,0,31,2,.397940008672038,1
62,7,2,.33, ,4,4,4,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,1,35,1,-.481486060122112,1
64,7,3,2,2,5,5,4,5,4,4,2,4,3,4,3,4,3,4,4,5,3,4,3,4,1,34,1,.301029995663981,2
38,7, ,6,1,4,4,3,4,2,3,2,4,3,4,3,3,4,3,4,3,2,4,1,4,1,28,3,.778151250383644, 
39,7,3,3.5,1,4,5,3,5,3,5,3,5, ,4, ,4,3,4,4,5,4,4,2,5,1, ,2,.544068044350276,2
63,7,3,.42,1,4,4,3,4,4,3,5,4,5,4,4,4,3,4,4,5,5,5,4,4,1,41,1,-.3767507096021,2
374,6,3,1.5,1,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,41,1,.176091259055681,2
376,6,5,.08,1,4,5,4,5,4,4, , ,4,5,4,4,3,4,4,4, , , , ,1, ,1,-1.09691001300806,4
377,6,5,.08,1,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3, , ,1, ,1,-1.09691001300806,4
380,6,3,.75,1,5,4,3,4,4,2,2,4,3,3,2,3,2,2,4,4,4,3,3,4,0,32,1,-.1249387366083,2
381,6, ,1,1,4,3,4,4,4,3,3,2,3,3,4,4,3,3,4,4,4,3,3,3,1,36,1,0, 
383,6,3,13,2,4,5,4,5,4,4,3,5,3,4,3,4,4,4,4,5,3,5,4,5,1,36,3,1.11394335230684,2
384,6,3, ,1,4,4,3,4,3,4,1,4,1,4,4,4,3,4,4,4,1,4,3,4,1,27, , ,2
388,6, ,1,1,5,5,4,5,5,5,4,4,5,5,4,4,3,4,5,5,4,5,4,5,1,43,1,0, 
390,6,3,.08,1,5,5, , , , ,4,1,5,3,5,1,5,5,4,4,5,5,5,5,1, ,1,-1.09691001300806,2
391,6,5,1,1,4,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,3,5,1,40,1,0,4
392,6,2,1,1,5,5,5,5,3,3,3,4,3,4,3,5,3,5,5,4,4,5,4,5,1,38,1,0,1
393,6, ,1.5,1,5,5,3,5,4,3,2,4,4,4,2,4,3,3,3,3,1,4,2,4,1,29,1,.176091259055681, 
394,6,5, ,2,5,5,3,4,4,4, ,3, , , , ,5,5,4,4, , , , ,1, , , ,4
395,6, ,1,2,5,5,4,5,3,5,3,5,5,5,4,5,5,5,4,5,4,5,5,5,1,42,1,0, 
397,6,2,1,2,4,4,5,5,3,3,3,3,2,3,2,3,1,4,5,4,2,3,2,4,1,29,1,0,1
398,6,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,1,48,1,0,2
399,6,2,.04,2,5,5,4,5,4,3, , ,1,4,3,4,5,5,5,5, , , , ,1, ,1,-1.39794000867204,1
400,6,4,1,1,4,4,5,4,4,2,3,4,5,4,3,4,3,2,5,4,4,4,3,4,1,39,1,0,3
401,6,5,.58,1,4,5,4,5,4,5,3,3,3,3,3,3,4,4,4,5,3,3,4,4,1,36,1,-.236572006437063,4
402,6,4, ,2,5,5,4,5,2,4,1,3,3,4,4,4,4,5,5,5,1,4,4,4,1,33, , ,3
403,6,3,1,2,4,5,4,4,4,3,1,1,3,4,5,5,4,3, , ,1,4,2,4, , ,1,0,2
404,6,2,1,1,5,5,3,5,4,3,2,1,3,3, ,1,1,1,5,5,3,3,3,4,1, ,1,0,1
406,6,5, ,1,4,4,5,4,3,3,3,3,3,3,4,4,4,4,4,4, , , , ,1, , , ,4
407,6,4,1,1,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,1,49,1,0,3
408,6,5, ,1,4,5,4,4,4,3,2,3,3,4,3,3,4,4,4,4,1,3,3,3,1,32, , ,4
409,6,4,.5,2,5,5,4,4,4,4,4,3,5,4,5,5,5,5,5,5,3,4,5,5,1,45,1,-.301029995663981,3
410,6,3,1,1,4,4,3,5,3,4,3,5,2,5,2,4,3,5,3,5,2,4,3,4,1,28,1,0,2
411,6,4,1,1,5,5,3,5,4,4,3,3,3,3,4,4,4,5,3,4,4,3,4,5,1,37,1,0,3
412,6,2,.67,1,4,5,3,4,2,3,2,5,4,4,4,4,1,3,5,5,2,3,3,4,1,30,1,-.173925197299174,1
413,6,3,1,1,4,5,4,5,4,5,3,4,3,4,3,4,3,4,4,5,2,4,4,5,1,34,1,0,2
414,6,2, ,2,4,4,4,5,4,3,4,5,4,4,4,4,4,3,5,4,3,3,4,5,1,40, , ,1
415,6,3,1, ,5,5,3,5,1,5,1,5,1,5,3,5,1,5,4,5,1,5,1,5,1,21,1,0,2
419,6,3,1,2,5,5,4,3,5,3,1,1,5,3,4,2,5,3,5,4,5,4,4,3,1,43,1,0,2
420,6,4,4,1,4,5,4,5,4,3,1,4,2,4,3,4,3,4,4,4,1,4,3,4,1,29,2,.602059991327962,3
421,6,3,.5,2,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,5,4,4,5,5,1,47,1,-.301029995663981,2
422,6,5,1,1,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,1,39,1,0,4
424,6,2,.25,2,5,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,3,5,5,5,1,40,1,-.602059991327962,1
425,6,4,.08, ,4,4,4,4,4,4, , , , ,4,4,4,4,4,5, , , , ,1, ,1,-1.09691001300806,3
426,6,3,1,1,4,5,3,5,2,4,1,4,3,4,3,4,3,5,5,5,2,4,3,4,1,29,1,0,2
373,6, , ,1,4,5,4,4,3,4,4,4,4,4,3,4,3,4,3,4,4,4,3,5,1,35, , , 
375,6, , ,1,5,5,3,5,3,3,1,3,1,5,5,5,5,5,3,5,1,3,1,5,1,28, , , 
378,6,5,1.5,1,4,5,5,5,3,5,1,5,1,5,4,4, ,4,4,5,3,5,4,5,1, ,1,.176091259055681,4
382,6, ,1,1,3,3,3,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3,2,2,1,30,1,0, 
385,6, ,1,1,4,4,4,5,3,4,1,5,1,5,2,5,2,2,4,4,1,3,3, ,1,25,1,0, 
386,6,5,.33,1,3,4,4,4,3,3,3,3,2,3,4,4,3,3,3,4,2,3,3,3,1,30,1,-.481486060122112,4
387,6, ,1, ,5,5,2, ,3, ,1, ,1, ,1, ,5, ,1, ,1, ,5, ,1,25,1,0, 
389,6,3,1,1,3,4,3,3,2,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,1,33,1,0,2
396,6,4, ,1,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,1,37, , ,3
405,6,3,1.5,1,5,5,4,4,3,4,3,4,3,5,4, ,4,4,4,4,4,5,4,5,1,38,1,.176091259055681,2
416,6,3,.16,1,5,5,5,5,5,5,2,5,5,5,3,3,5,5,5,5,5,5,5,5,1,45,1,-.795880017344075,2
417,6,3,1,1,4,5,3,5,1,5,1,5,1,5,4,5,3,5,4,5,4,5,1,5,1,26,1,0,2
423,6,2,.5,2,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,1,40,1,-.301029995663981,1
379,6, ,1.66, ,4,5,3,4,3,4,3,4,4,4,3,3,3,3,4,4,5,4,4,4,1,36,1,.220108088040055, 
418,6,2,2,1,5,5,5,5,5,4,5,5,5,3,5,4,5,2,4,2,5,3,3,3,1,47,1,.301029995663981,1
73,5,3,2.5,2,5,5,4,4,3,4,4,5,4,5,4,4,4,4,4,5,2,2,5,5,1,39,2,.397940008672038,2
66,5, ,6,2,5,5,3,5,4,4,2,3,2,3,3,3,1,3,2,4,1,3,4, ,1,27,3,.778151250383644, 
67,5,3,.58,2,4,4,4,4,4,3,3,3,1,3,3,3,2,3,4,4,3,3,4,4,1,32,1,-.236572006437063,2
